001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069226,070509s2005\\\\mdua\\\\o\\\\f000\0\eng\d, (OCoLC)124074335, 0247-D (online), C 13.58:7276, The Impact of RAID on disk imaging / , NISTIR ; 7276 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-96e9abb80d0b994e59929a8a3b4b422e/pdf/GOVPUB-C13-96e9abb80d0b994e59929a8a3b4b422e.pdf https://purl.fdlp.gov/GPO/gpo100909
001069227,160421s2013\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)947049868, 0247-D (online), C 13.58:1149-01, NIST time and frequency bulletin / , NISTIR ;  1149-01. , https://dx.doi.org/10.6028/NIST.IR.1149-01 https://www.govinfo.gov/content/pkg/GOVPUB-C13-97424f2bf4d59a4ab57a66873456daa8/pdf/GOVPUB-C13-97424f2bf4d59a4ab57a66873456daa8.pdf https://purl.fdlp.gov/GPO/gpo103630
001069228,070509s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124076778, 0247-D (online), C 13.58:7352, NIST liquid hydrogen cold source / , NISTIR ; 7352 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-985a6f4cf04e0886540cc14554951335/pdf/GOVPUB-C13-985a6f4cf04e0886540cc14554951335.pdf https://purl.fdlp.gov/GPO/gpo100960
001069229,070501s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903716, 0247-D (online), C 13.58:7258, Messaging in the process specification language / , NISTIR ; 7258 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-a0beb7314d37dac376ac7e2cfe22fe8f/pdf/GOVPUB-C13-a0beb7314d37dac376ac7e2cfe22fe8f.pdf https://purl.fdlp.gov/GPO/gpo101253
001069230,070416s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123128320, 0247-D (online), C 13.58:7268, Workshop on the evaluation of a tactical decision aid display / , NISTIR ; 7268 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-a216a7a728f68dc98e090c993e8bc486/pdf/GOVPUB-C13-a216a7a728f68dc98e090c993e8bc486.pdf https://purl.fdlp.gov/GPO/gpo101319
001069231,070322s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86111533, 0247-D (online), C 13.58:7296, MINEX :  performance and interoperability of the INCITS 378 fingerprint template /, NISTIR ; 7296 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-a7f58a12dd69b5784c7b7f6b05e85a3d/pdf/GOVPUB-C13-a7f58a12dd69b5784c7b7f6b05e85a3d.pdf https://purl.fdlp.gov/GPO/gpo101565
001069232,070509s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124074314, 0247-D (online), C 13.58:7241, NIST in the CFR :  a report on references to NIST (and NBS) products and services in the code of federal regulations /, NISTIR ; 7241 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-a96bfcdd1f1643bb1615f5fa78086c0d/pdf/GOVPUB-C13-a96bfcdd1f1643bb1615f5fa78086c0d.pdf https://purl.fdlp.gov/GPO/gpo101631
001069233,070322s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86111211, 0247-D (online), C 13.58:7357," Proceedings of the 3rd NIST workshop on the performance evaluation of 3D imaging systems, March 2-3, 2006 / ", NISTIR ; 7357 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-aaa619d2e9d8fa4f174d60a47691e5f2/pdf/GOVPUB-C13-aaa619d2e9d8fa4f174d60a47691e5f2.pdf https://purl.fdlp.gov/GPO/gpo101667
001069234,100608s2009\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)639346624, 0247-D (online), C 13.58:7584, A Coherent approach for interrogating polybenzoxazole fibers for residual phosphoric acid / , NISTIR ; 7584 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-aedfe9170d4008279bf6f16f18142854/pdf/GOVPUB-C13-aedfe9170d4008279bf6f16f18142854.pdf https://purl.fdlp.gov/GPO/gpo101832
001069235,070320s2006\\\\mdu\\\\\o\\\\f000\0\eng\d, (OCoLC)86080079, 0247-D (online), C 13.58:7378, A taxonomy of definitions for usability studies in biometrics / , NISTIR ; 7378 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-b3f77bdb5582467b24910e18de47d5ce/pdf/GOVPUB-C13-b3f77bdb5582467b24910e18de47d5ce.pdf https://purl.fdlp.gov/GPO/gpo102043
