001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001116247,100411s1982\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)606498118, 0241 (online), C 13.29/2:138, Prediction of pore water pressure buildup and liquefaction of sands during earthquakes by the cyclic strain method / , NBS building science series ; 138 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-0c22d88a93e42c2fde8361c58d4cc25e/pdf/GOVPUB-C13-0c22d88a93e42c2fde8361c58d4cc25e.pdf https://purl.fdlp.gov/GPO/gpo94814
001116248,100625s1978\\\\dcua\\\\o\\\\f000\0\eng\d, (OCoLC)643652959, 0241 (online) 241-A, C 13.29/2:108, Safety on stairs / , NBS building science series ; 108 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-63dd8cba0c017fd64ab2cffd3c787294/pdf/GOVPUB-C13-63dd8cba0c017fd64ab2cffd3c787294.pdf https://purl.fdlp.gov/GPO/gpo98710
001116249,101108s1982\\\\dcu\\\\\ob\\\f000\0\eng\d, (OCoLC)680014138, 0241 (online), C 13.29/2:147, Performance criteria for solar heating and cooling systems in residential buildings / , NBS building science series ; 147 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-0172afa68d0a4d573fbbf6b64ff6e0d4/pdf/GOVPUB-C13-0172afa68d0a4d573fbbf6b64ff6e0d4.pdf https://purl.fdlp.gov/GPO/gpo94447
001116250,101111s1980\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)680891369, 0241 (online), C 13.29/2:122," A Study of lumber used for bracing trenches in the United States :  report to Occupational Safety and Health Administration, Department of Labor, Washington, D.C. 20210 /", NBS building science series ; 122 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-14a713beb9825ed6dcc7db8614336d0f/pdf/GOVPUB-C13-14a713beb9825ed6dcc7db8614336d0f.pdf https://purl.fdlp.gov/GPO/gpo95156
001116251,110523s1977\\\\dcu\\\\\ob\\\f000\0\eng\d, (OCoLC)726767194, 0241 (online), C 13.29/2:93, Dynamic performance of a residential air-to-air heat pump / , NBS building science series ; 93 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-99b7c55c1641594573ab1312b6924143/pdf/GOVPUB-C13-99b7c55c1641594573ab1312b6924143.pdf https://purl.fdlp.gov/GPO/gpo101010
001116252,110523s1975\\\\dcu\\\\\ob\\\f000\0\eng\d, (OCoLC)726774017, 0241 (online), C 13.29/2:68, Review of standards and other information on thermoplastic piping in residential plumbing / , NBS building science series ; 68 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-9192ca9eb0dfa5107c99b4699fdfbe5f/pdf/GOVPUB-C13-9192ca9eb0dfa5107c99b4699fdfbe5f.pdf https://purl.fdlp.gov/GPO/gpo100678
001116253,110527s1975\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)727422452, 0241 (online), C 13.29/2:57, Comparison of measured and computer-predicted thermal performance of a four bedroom wood-frame townhouse / , NBS building science series ; 57 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-70c27a5f53d1530dcafc01a903927233/pdf/GOVPUB-C13-70c27a5f53d1530dcafc01a903927233.pdf https://purl.fdlp.gov/GPO/gpo99222
001116254,110527s1974\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)727422471, 0241 (online), C 13.29/2:53," Study of the local resistance of conventional plywood subflooring to concentrated load :  prepared for the Office of Research and Technology, Office [i.e. Dept.] of Housing and Urban Development /", NBS building science series ; 53 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-d66d9da99a447242a96ca54cb6fc0bb7/pdf/GOVPUB-C13-d66d9da99a447242a96ca54cb6fc0bb7.pdf https://purl.fdlp.gov/GPO/gpo103462
001116255,110527s1974\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)727422477, 0241 (online), C 13.29/2:52, The effect of impact loadings on the performance of wood joist subflooring systems / , NBS building science series ; 52 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-f8422ccd1a62a3aab130c1af870a8511/pdf/GOVPUB-C13-f8422ccd1a62a3aab130c1af870a8511.pdf https://purl.fdlp.gov/GPO/gpo105107
001116256,110527s1974\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)727422530, 0241 (online), C 13.29/2:58," State-of-the-art of structural test methods for walls, floors, roofs, and complete buildings :  prepared for Office of Policy Development and Research, Department of Housing and Urban Development ... /", NBS building science series ; 58 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-a383a0f5e62aa2c889ad28c9182ab131/pdf/GOVPUB-C13-a383a0f5e62aa2c889ad28c9182ab131.pdf https://purl.fdlp.gov/GPO/gpo101375
001116257,110527s1975\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)727422536, 0241 (online), C 13.29/2:60, Hydraulic performance of a full-scale townhouse drain-waste-vent system with reduced-size vents / , NBS building science series ; 60 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-140529864c2928130eaebaf6635f83d2/pdf/GOVPUB-C13-140529864c2928130eaebaf6635f83d2.pdf https://purl.fdlp.gov/GPO/gpo95145
001116258,110527s1974\\\\dcua\\\\ob\\\f100\0\eng\d, (OCoLC)727425858, 0241 (online), C 13.29/2:56," Development of improved design criteria for low-rise buildings in developing countries to better resist the effects of extreme winds :  proceedings of a workshop held at the Dr. Paulino J. Garcia Memorial Hall, National Science Development Board, Manila, Philippines, November 14-17, 1973 /", NBS building science series ; 56 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-fc084ba707abba402b8efdccc5cd3220/pdf/GOVPUB-C13-fc084ba707abba402b8efdccc5cd3220.pdf https://purl.fdlp.gov/GPO/gpo105265
