001,008,035$a,074$a,086$a,245,830,856$u
"001074220","151026s1924\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732018","0247 (online)","C 13.10:54","A standard state zoning enabling act under which municipalities may adopt zoning regulations /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;54.","https://doi.org/10.6028/NBS.MP.54;https://www.govinfo.gov/content/pkg/GOVPUB-C13-c1525bdbe21763c5cf69010cfab02846/pdf/GOVPUB-C13-c1525bdbe21763c5cf69010cfab02846.pdf;https://purl.fdlp.gov/GPO/gpo102592"
"001074221","151026s1924\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732188","0247 (online)","C 13.10:55","Weights and measures sixteenth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;55.","https://doi.org/10.6028/NBS.MP.55;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1ecfa55fe4e7fe57ca91b915d2761b29/pdf/GOVPUB-C13-1ecfa55fe4e7fe57ca91b915d2761b29.pdf;https://purl.fdlp.gov/GPO/gpo95605"
"001074222","151026s1924\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732195","0247 (online)","C 13.10:57","Large Mollier chart properties of ammonia /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;57.","https://doi.org/10.6028/NBS.MP.57;https://www.govinfo.gov/content/pkg/GOVPUB-C13-52c9c5fbb30b34897555558408018014/pdf/GOVPUB-C13-52c9c5fbb30b34897555558408018014.pdf;https://purl.fdlp.gov/GPO/gpo97919"
"001074223","151026s1924\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732196","0247 (online)","C 13.10:58","Technical conference of state utility commission engineers /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;58.","https://doi.org/10.6028/NBS.MP.58;https://www.govinfo.gov/content/pkg/GOVPUB-C13-3fb47460da26ba5a2726f329be0d36ce/pdf/GOVPUB-C13-3fb47460da26ba5a2726f329be0d36ce.pdf;https://purl.fdlp.gov/GPO/gpo97063"
"001074224","151026s1924\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732129","0247 (online)","C 13.10:59","Weights and measures seventeenth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;59.","https://doi.org/10.6028/NBS.MP.59;https://www.govinfo.gov/content/pkg/GOVPUB-C13-160aa951a9d3ca3edec66a1d9d35f3f4/pdf/GOVPUB-C13-160aa951a9d3ca3edec66a1d9d35f3f4.pdf;https://purl.fdlp.gov/GPO/gpo95288"
"001074227","151026s1925\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732222","0247 (online)","C 13.10:66","Second technical conference of state utility commission engineers /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;66.","https://doi.org/10.6028/NBS.MP.66;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6842ce70889c9035f521bf26ef4a7eda/pdf/GOVPUB-C13-6842ce70889c9035f521bf26ef4a7eda.pdf;https://purl.fdlp.gov/GPO/gpo98885"
"001074228","151026s1925\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732178","0247 (online)","C 13.10:67","Kilocycle-meter conversion table /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;67.","https://doi.org/10.6028/NBS.MP.67;https://www.govinfo.gov/content/pkg/GOVPUB-C13-543dc32776667aaad37d29d74c85eedb/pdf/GOVPUB-C13-543dc32776667aaad37d29d74c85eedb.pdf;https://purl.fdlp.gov/GPO/gpo97968"
"001074229","151026s1925\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732179","0247 (online)","C 13.10:68","Adjust your headlights /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;68.","https://doi.org/10.6028/NBS.MP.68;https://www.govinfo.gov/content/pkg/GOVPUB-C13-310303bbd19b214cdd63db3315e1f683/pdf/GOVPUB-C13-310303bbd19b214cdd63db3315e1f683.pdf;https://purl.fdlp.gov/GPO/gpo96459"
"001074230","151026s1925\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732229","0247 (online)","C 13.10:71","Compressibilities of gases /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;71.","https://doi.org/10.6028/NBS.MP.71;https://www.govinfo.gov/content/pkg/GOVPUB-C13-90b99af9bba5b5e3c944ff8afe87238c/pdf/GOVPUB-C13-90b99af9bba5b5e3c944ff8afe87238c.pdf;https://purl.fdlp.gov/GPO/gpo100644"
"001074231","151026s1926\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732237","0247 (online)","C 13.10:72","Strain lines /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;72.","https://doi.org/10.6028/NBS.MP.72;https://www.govinfo.gov/content/pkg/GOVPUB-C13-229f2e28c50bd97d301835c616441125/pdf/GOVPUB-C13-229f2e28c50bd97d301835c616441125.pdf;https://purl.fdlp.gov/GPO/gpo95817"
"001074233","151026s1926\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732227","0247 (online)","C 13.10:74","Weights and measures nineteenth national conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;74.","https://doi.org/10.6028/NBS.MP.74;https://www.govinfo.gov/content/pkg/GOVPUB-C13-c4aa46ac9bd23084796a1a1a509759df/pdf/GOVPUB-C13-c4aa46ac9bd23084796a1a1a509759df.pdf;https://purl.fdlp.gov/GPO/gpo102751"
"001074235","151026s1927\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732205","0247 (online)","C 13.10:76","Mollier chart properties of ammonia /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;76.","https://doi.org/10.6028/NBS.MP.76;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5783c700bbec30a169f0fe903cd61252/pdf/GOVPUB-C13-5783c700bbec30a169f0fe903cd61252.pdf;https://purl.fdlp.gov/GPO/gpo98087"
"001074236","151026s1927\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732239","0247 (online)","C 13.10:78","Standard atmosphere chart /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;78.","https://doi.org/10.6028/NBS.MP.78;https://www.govinfo.gov/content/pkg/GOVPUB-C13-42665a454fd9fcba02413be7a28bfaff/pdf/GOVPUB-C13-42665a454fd9fcba02413be7a28bfaff.pdf;https://purl.fdlp.gov/GPO/gpo97149"
"001074237","151026s1927\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732266","0247 (online)","C 13.10:79","Standards and specifications in the wood-using industries /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;79.","https://doi.org/10.6028/NBS.MP.79;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1f1e03de6a4483e30d85c3ef3400ed18/pdf/GOVPUB-C13-1f1e03de6a4483e30d85c3ef3400ed18.pdf;https://purl.fdlp.gov/GPO/gpo95614"
