001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001076179,151030s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169214, 0247-A (online), C 13.44:84," Standard cells :  their construction, maintenance, and characteristics /", NBS monograph ; 84 , https://doi.org/10.6028/NBS.MONO.84 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c28efff2f98ed0db9f802de89a95e733/pdf/GOVPUB-C13-c28efff2f98ed0db9f802de89a95e733.pdf https://purl.fdlp.gov/GPO/gpo102658
001076181,151030s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169285, 0247-A (online), C 13.44:87," Oxidation of polycyclic, aromatic hydrocarbons :  a review of the literature /", NBS monograph ; 87 , https://doi.org/10.6028/NBS.MONO.87 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d075db89f91b6bfff40991c413b22ee2/pdf/GOVPUB-C13-d075db89f91b6bfff40991c413b22ee2.pdf https://purl.fdlp.gov/GPO/gpo103226
001076182,151030s1966\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169286, 0247-A (online), C 13.44:88, Heat treatment and properties of iron and steel / , NBS monograph ; 88 , https://doi.org/10.6028/NBS.MONO.88 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b009c3f01843007d941f4ad56109d3aa/pdf/GOVPUB-C13-b009c3f01843007d941f4ad56109d3aa.pdf https://purl.fdlp.gov/GPO/gpo101891
001076183,151030s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169287, 0247-A (online), C 13.44:89, Effects of thermal shrinkage on built-up roofing / , NBS monograph ; 89 , https://doi.org/10.6028/NBS.MONO.89 https://www.govinfo.gov/content/pkg/GOVPUB-C13-53a0749e0484df3740399ed7ad1ec737/pdf/GOVPUB-C13-53a0749e0484df3740399ed7ad1ec737.pdf https://purl.fdlp.gov/GPO/gpo97952
001076184,151019s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472779, 0247-A (online), C 13.44:25-3, Standard x-ray diffraction powder patterns / , NBS monograph ;  25-3. , https://doi.org/10.6028/NBS.MONO.25-3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-395ff5ce281f84a933ac73da7ad6086c/pdf/GOVPUB-C13-395ff5ce281f84a933ac73da7ad6086c.pdf https://purl.fdlp.gov/GPO/gpo96736
001076185,151030s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169380, 0247-A (online), C 13.44:90, Calibration of liquid-in-glass thermometers / , NBS monograph ; 90 , https://doi.org/10.6028/NBS.MONO.90 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e5f72830e2d818805580076d8a41127b/pdf/GOVPUB-C13-e5f72830e2d818805580076d8a41127b.pdf https://purl.fdlp.gov/GPO/gpo104386
001076188,151030s1968\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169387, 0247-A (online), C 13.44:107, Acceleration due to gravity at the National Bureau of Standards / , NBS monograph ; 107 , https://doi.org/10.6028/NBS.MONO.107 https://www.govinfo.gov/content/pkg/GOVPUB-C13-80ee33963ce03a7ee78646d834b13916/pdf/GOVPUB-C13-80ee33963ce03a7ee78646d834b13916.pdf https://purl.fdlp.gov/GPO/gpo99849
001076191,151019s1967\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472710, 0247-A (online), C 13.44:25-5, Standard x-ray diffraction powder patterns / , NBS monograph ;  25-5. , https://doi.org/10.6028/NBS.MONO.25-5 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8be02c7db34ce2b1311cbc2037d26129/pdf/GOVPUB-C13-8be02c7db34ce2b1311cbc2037d26129.pdf https://purl.fdlp.gov/GPO/gpo100458
001076192,151019s1969\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472766, 0247-A (online), C 13.44:25-7, Standard x-ray diffraction powder patterns / , NBS monograph ;  25-7. , https://doi.org/10.6028/NBS.MONO.25-7 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0521d0507c7545ff19aa03d525001d43/pdf/GOVPUB-C13-0521d0507c7545ff19aa03d525001d43.pdf https://purl.fdlp.gov/GPO/gpo94598
001076193,151019s1970\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472711, 0247-A (online), C 13.44:25-8, Standard x-ray diffraction powder patterns / , NBS monograph ;  25-8. , https://doi.org/10.6028/NBS.MONO.25-8 https://www.govinfo.gov/content/pkg/GOVPUB-C13-051328ceaf49d68f73df331b187305b9/pdf/GOVPUB-C13-051328ceaf49d68f73df331b187305b9.pdf https://purl.fdlp.gov/GPO/gpo94596
