001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001077356,130219s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828010213, 0249-A (online), C 13.46:1780, Towards Smart Fire Panels : / , NIST technical note ; 1780 , https://doi.org/10.6028/NIST.TN.1780 https://www.govinfo.gov/content/pkg/GOVPUB-C13-505ce494ca8c2eba8bf357a6f4fe0943/pdf/GOVPUB-C13-505ce494ca8c2eba8bf357a6f4fe0943.pdf https://purl.fdlp.gov/GPO/gpo97827
001077357,130219s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828028118, 0249-A (online), C 13.46:1679, Repeatability and reproducibility of compression strength measurements conducted according to ASTM E9 : / , NIST technical note ; 1679 , https://doi.org/10.6028/NIST.TN.1679 https://www.govinfo.gov/content/pkg/GOVPUB-C13-dbaa0a25dc341be9c951c7852af1f2b0/pdf/GOVPUB-C13-dbaa0a25dc341be9c951c7852af1f2b0.pdf https://purl.fdlp.gov/GPO/gpo105443
001077358,130227s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828629675, 0249-A (online), C 13.46:1749, Robustness of Steel Gravity Frame Systems with Single-Plate Shear Connections : / , NIST technical note ; 1749 , https://doi.org/10.6028/NIST.TN.1749 https://www.govinfo.gov/content/pkg/GOVPUB-C13-be725af926a89f65738f5063da623c7b/pdf/GOVPUB-C13-be725af926a89f65738f5063da623c7b.pdf https://purl.fdlp.gov/GPO/gpo102456
001077359,130305s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828938685, 0249-A (online), C 13.46:1785, Thermal Performance of Self-Contained Breathing Apparatus Facepiece Lenses Exposed to Radiant Heat Flux : / , NIST technical note ; 1785 , https://doi.org/10.6028/NIST.TN.1785 https://www.govinfo.gov/content/pkg/GOVPUB-C13-282951c9fe451c793296a5fd20934bda/pdf/GOVPUB-C13-282951c9fe451c793296a5fd20934bda.pdf https://purl.fdlp.gov/GPO/gpo96079
001077360,130305s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828938679, 0249-A (online), C 13.46:1722, Simple Estimates of Combined Stairwell / Elevator Egress in Buildings : / , NIST technical note ; 1722 , https://doi.org/10.6028/NIST.TN.1722 https://www.govinfo.gov/content/pkg/GOVPUB-C13-44695726b38382de9cb5d09b30afe045/pdf/GOVPUB-C13-44695726b38382de9cb5d09b30afe045.pdf https://purl.fdlp.gov/GPO/gpo97225
001077361,130320s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)830545256, 0249-A (online), C 13.46:1795, Developing guidelines and standards for disaster resilience of the built environment :  a research needs assessment /, NIST technical note ; 1795 , https://doi.org/10.6028/NIST.TN.1795 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b0a960d05c54b481f94d1fcf4c0c5459/pdf/GOVPUB-C13-b0a960d05c54b481f94d1fcf4c0c5459.pdf https://purl.fdlp.gov/GPO/gpo101918
001077362,130320s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)830545259, 0249-A (online), C 13.46:1790, Configuration of profiling tools for C/C++ applications under 64-bit Linux : / , NIST technical note ; 1790 , https://doi.org/10.6028/NIST.TN.1790 https://www.govinfo.gov/content/pkg/GOVPUB-C13-302a7bc32b55181b5231d8f0f3d40cbb/pdf/GOVPUB-C13-302a7bc32b55181b5231d8f0f3d40cbb.pdf https://purl.fdlp.gov/GPO/gpo96442
001077363,130320s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)830546873, 0249-A (online), C 13.46:1781, Modeling and measuring the effects of portable gasoline powered generator exhaust on indoor carbon monoxide level : / , NIST technical note ; 1781 , https://doi.org/10.6028/NIST.TN.1781 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c9ac27b6cd0e87759c2ad195121704a5/pdf/GOVPUB-C13-c9ac27b6cd0e87759c2ad195121704a5.pdf https://purl.fdlp.gov/GPO/gpo102952
001077364,130320s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)830546895, 0249-A (online), C 13.46:1788, Neutron test results of preliminary measurements and calculations using a handheld instrument : / , NIST technical note ; 1788 , https://doi.org/10.6028/NIST.TN.1788 https://www.govinfo.gov/content/pkg/GOVPUB-C13-696f63969010daa5d646dc29bc56d927/pdf/GOVPUB-C13-696f63969010daa5d646dc29bc56d927.pdf https://purl.fdlp.gov/GPO/gpo98930
001077365,130320s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)830545269, 0249-A (online), C 13.46:1789, Validation testing of standard requirements for backpack-type radiation detectors : / , NIST technical note ; 1789 , https://doi.org/10.6028/NIST.TN.1789 https://www.govinfo.gov/content/pkg/GOVPUB-C13-51a27734e615e772d7d36d4179add92e/pdf/GOVPUB-C13-51a27734e615e772d7d36d4179add92e.pdf https://purl.fdlp.gov/GPO/gpo97877
