001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001079136,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883971, 0244 (online), C 13.27:31," Paint pigments - black, red, and lakes / ", Technical information on building materials; 31 , https://doi.org/10.6028/NBS.TIBM.31 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7b3e2db5021cd9d4cea820b69f3741b3/pdf/GOVPUB-C13-7b3e2db5021cd9d4cea820b69f3741b3.pdf https://purl.fdlp.gov/GPO/gpo99641
001079137,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883986, 0244 (online), C 13.27:32," Paint pigments - yellow, brown, blue, green, and bronze / ", Technical information on building materials; 32 , https://doi.org/10.6028/NBS.TIBM.32 https://www.govinfo.gov/content/pkg/GOVPUB-C13-09cd7735b9b31a49e23a94b4e65bef89/pdf/GOVPUB-C13-09cd7735b9b31a49e23a94b4e65bef89.pdf https://purl.fdlp.gov/GPO/gpo94699
001079138,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883987, 0244 (online), C 13.27:33, Federal specification paint pigments and mixing formulas / , Technical information on building materials; 33 , https://doi.org/10.6028/NBS.TIBM.33 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d680e114318d46a37a743ba1b7315afa/pdf/GOVPUB-C13-d680e114318d46a37a743ba1b7315afa.pdf https://purl.fdlp.gov/GPO/gpo103467
001079139,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883990, 0244 (online), C 13.27:37, Commercial masonry cement investigations / , Technical information on building materials; 37 , https://doi.org/10.6028/NBS.TIBM.37 https://www.govinfo.gov/content/pkg/GOVPUB-C13-95d4479c94e59605e4a0d2f6d9ae3690/pdf/GOVPUB-C13-95d4479c94e59605e4a0d2f6d9ae3690.pdf https://purl.fdlp.gov/GPO/gpo100858
001079140,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883991, 0244 (online), C 13.27:40, Materials used in bituminous built-up roofing / , Technical information on building materials; 40 , https://doi.org/10.6028/NBS.TIBM.40 https://www.govinfo.gov/content/pkg/GOVPUB-C13-58f79c88b83da9974e932fa0ef9d29b2/pdf/GOVPUB-C13-58f79c88b83da9974e932fa0ef9d29b2.pdf https://purl.fdlp.gov/GPO/gpo98140
001079141,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883992, 0244 (online), C 13.27:41, Roofing tin (terneplate) for house construction / , Technical information on building materials; 41 , https://doi.org/10.6028/NBS.TIBM.41 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8816c51808f13b3ad32cae8cb4e17ee6/pdf/GOVPUB-C13-8816c51808f13b3ad32cae8cb4e17ee6.pdf https://purl.fdlp.gov/GPO/gpo103546
001079142,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884002, 0244 (online), C 13.27:57, Weathering properties of building brick / , Technical information on building materials; 57 , https://doi.org/10.6028/NBS.TIBM.57 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ad862c30c0adc9161383cabb3295965b/pdf/GOVPUB-C13-ad862c30c0adc9161383cabb3295965b.pdf https://purl.fdlp.gov/GPO/gpo101781
001079143,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884003, 0244 (online), C 13.27:58, Masonry wall resistance to rain penetration / , Technical information on building materials; 58 , https://doi.org/10.6028/NBS.TIBM.58 https://www.govinfo.gov/content/pkg/GOVPUB-C13-50a341c2be88d6b432779024814802b3/pdf/GOVPUB-C13-50a341c2be88d6b432779024814802b3.pdf https://purl.fdlp.gov/GPO/gpo97837
001079144,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884021, 0244 (online), C 13.27:42, Black and galvanized sheets for use in house construction / , Technical information on building materials; 42 , https://doi.org/10.6028/NBS.TIBM.42 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8552612027ea1696806f6ec52a1c2c1a/pdf/GOVPUB-C13-8552612027ea1696806f6ec52a1c2c1a.pdf https://purl.fdlp.gov/GPO/gpo103545
001079145,151118s1937\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929884022, 0244 (online), C 13.27:43, Aluminum paints / , Technical information on building materials; 43 , https://doi.org/10.6028/NBS.TIBM.43 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ca06e89b20cfbcc02ee867c0200d344e/pdf/GOVPUB-C13-ca06e89b20cfbcc02ee867c0200d344e.pdf https://purl.fdlp.gov/GPO/gpo102968
