1,8,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
1074003,130725s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)853659877, 0247 (online), C 13.10:260-180," Standard reference materials certification report for SRM 2216, 2218, 2219 :  KLST (miniaturized) Charpy v-notch impact specimens /", NIST special publication ;  260-180. , https://doi.org/10.6028/NIST.SP.260-180 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c417c11b5796a5e5a9cc5ea4f89f3091/pdf/GOVPUB-C13-c417c11b5796a5e5a9cc5ea4f89f3091.pdf https://purl.fdlp.gov/GPO/gpo102723
1074004,130816s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)855916227, 0247 (online), C 13.10:1163, Economics of the U. S. additive manufacturing industry / , NIST special publication ; 1163 , https://doi.org/10.6028/NIST.SP.1163 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e612ae2eb534043c97fe46b3370ce2fb/pdf/GOVPUB-C13-e612ae2eb534043c97fe46b3370ce2fb.pdf https://purl.fdlp.gov/GPO/gpo104392
1074005,130816s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)855918319, 0247 (online), C 13.10:800-130, A framework for designing cryptographic key management systems / , NIST special publication ;  800-130. , https://doi.org/10.6028/NIST.SP.800-130 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3f64a5bf5d5c604e6008af3c35e6720b/pdf/GOVPUB-C13-3f64a5bf5d5c604e6008af3c35e6720b.pdf https://purl.fdlp.gov/GPO/gpo97056
1074006,130827s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)857082953, 0247 (online), C 13.10:1017-1, Smokeview (version 6) a tool for visualizing fire dynamics simulation data volume I :  user's guide /, NIST special publication ;  1017-1. , https://doi.org/10.6028/NIST.SP.1017-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-aacc825870ad71263dbcdeba3c138adf/pdf/GOVPUB-C13-aacc825870ad71263dbcdeba3c138adf.pdf https://purl.fdlp.gov/GPO/gpo101671
1074007,130827s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)857079795, 0247 (online), C 13.10:1017-2, Smokeview (version 6) a tool for visualizing fire dynamics simulation data volume II :  technical reference guide /, NIST special publication ;  1017-2. , https://doi.org/10.6028/NIST.SP.1017-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8f3062a13825ceee7b0b8810dcf55720/pdf/GOVPUB-C13-8f3062a13825ceee7b0b8810dcf55720.pdf https://purl.fdlp.gov/GPO/gpo100589
1074008,130827s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)857082957, 0247 (online), C 13.10:1017-3, Smokeview (version 6) a tool for visualizing fire dynamics simulation data volume III :  verification guide /, NIST special publication ;  1017-3. , https://doi.org/10.6028/NIST.SP.1017-3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8883e3c3f36ca0c56c97ad7fa89f76ed/pdf/GOVPUB-C13-8883e3c3f36ca0c56c97ad7fa89f76ed.pdf https://purl.fdlp.gov/GPO/gpo100326
1074009,130830s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)857290041, 0247 (online), C 13.10:800-63-2, Electronic authentication guideline / , NIST special publication ;  800-63-2. , https://doi.org/10.6028/NIST.SP.800-63-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f1562a229e6447f9b26e10d164463205/pdf/GOVPUB-C13-f1562a229e6447f9b26e10d164463205.pdf https://purl.fdlp.gov/GPO/gpo104843
1074010,130830s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)857290043, 0247 (online), C 13.10:1143, NIST center for neutron research 2012 accomplishments and opportunities / , NIST special publication ; 1143 , https://doi.org/10.6028/NIST.SP.1143 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d28efc7cec2a704690f369cbfe0b30be/pdf/GOVPUB-C13-d28efc7cec2a704690f369cbfe0b30be.pdf https://purl.fdlp.gov/GPO/gpo103300
1074011,130925s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)858922859, 0247 (online), C 13.10:800-81-2, Secure domain name system (DNS) deployment guide / , NIST special publication ;  800-81-2. , https://doi.org/10.6028/NIST.SP.800-81-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4ee4d0d8a2bbd7b2a703346ea9032044/pdf/GOVPUB-C13-4ee4d0d8a2bbd7b2a703346ea9032044.pdf https://purl.fdlp.gov/GPO/gpo97769
1074012,130930s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)859158089, 0247 (online), C 13.10:1166, Energy performance of the NIST net zero energy residential test facility relative to a Maryland code-compliant design / , NIST special publication ; 1166 , https://doi.org/10.6028/NIST.SP.1166 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d8fc0de5694e5c2c2959ce8a0e3990e3/pdf/GOVPUB-C13-d8fc0de5694e5c2c2959ce8a0e3990e3.pdf https://purl.fdlp.gov/GPO/gpo103789
1074013,130930s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)859158113, 0247 (online), C 13.10:1165, Benefits and costs of energy standard adoption in new commercial buildings :  state-by-state summaries /, NIST special publication ; 1165 , https://doi.org/10.6028/NIST.SP.1165 https://www.govinfo.gov/content/pkg/GOVPUB-C13-90de5e9cd65d2d60c508d3b56feb85df/pdf/GOVPUB-C13-90de5e9cd65d2d60c508d3b56feb85df.pdf https://purl.fdlp.gov/GPO/gpo100654
1074014,131209s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)864829250, 0247 (online), C 13.10:1164," Preliminary reconnaissance of the May 20, 2013 Newcastle-Moore tornado in Oklahoma / ", NIST special publication ; 1164 , https://doi.org/10.6028/NIST.SP.1164 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6aa2dd8c673d38dd9bb84fc6f1bfaded/pdf/GOVPUB-C13-6aa2dd8c673d38dd9bb84fc6f1bfaded.pdf https://purl.fdlp.gov/GPO/gpo98966
1074015,140212s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)870343714, 0247 (online), C 13.10:1170," Documentation for Reference Material (RM) 8820 :  a versatile, multipurpose dimensional metrology calibration standard for scanned particle beam, scanned probe, and optical microscopy /", NIST special publication ; 1170 , https://doi.org/10.6028/NIST.SP.1170 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1cb45ab96fd9b91901073fab856dd6db/pdf/GOVPUB-C13-1cb45ab96fd9b91901073fab856dd6db.pdf https://purl.fdlp.gov/GPO/gpo95549
1074017,140224s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)870972918, 0247 (online), C 13.10:500-289, Compression guidance for 1000 ppi friction ridge imagery / , NIST special publication ;  500-289. , https://doi.org/10.6028/NIST.SP.500-289 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b2a88074856a1d3d0a05dea1ff93ff6a/pdf/GOVPUB-C13-b2a88074856a1d3d0a05dea1ff93ff6a.pdf https://purl.fdlp.gov/GPO/gpo101980
1074018,140430s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)878674021, 0247 (online), C 13.10:1169, Verification and validation of commonly used empirical correlations for fire scenarios / , NIST special publication ; 1169 , https://doi.org/10.6028/NIST.SP.1169 https://www.govinfo.gov/content/pkg/GOVPUB-C13-71415da554dbb7eba31a784318c71a2a/pdf/GOVPUB-C13-71415da554dbb7eba31a784318c71a2a.pdf https://purl.fdlp.gov/GPO/gpo99245
1074019,140722s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)884337871, 0247 (online), C 13.10:1172, Life-cycle cost comparison of the NIST net zero energy residential test facility to a Maryland code-compliant design / , NIST special publication ; 1172 , https://doi.org/10.6028/NIST.SP.1172 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c1a7fbab12059f9c6d61c7fcbfa1e3b2/pdf/GOVPUB-C13-c1a7fbab12059f9c6d61c7fcbfa1e3b2.pdf https://purl.fdlp.gov/GPO/gpo102608
1074020,140902s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)889753252, 0247 (online), C 13.10:1174," Smart firefighting workshop summary report March 24-25, 2014 Arlington, Virginia / ", NIST special publication ; 1174 , https://doi.org/10.6028/NIST.SP.1174 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0eebf2c7348297709472724986aba70a/pdf/GOVPUB-C13-0eebf2c7348297709472724986aba70a.pdf https://purl.fdlp.gov/GPO/gpo95028
1074021,140902s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)889754275, 0247 (online), C 13.10:800-170, Computer Security Division 2013 annual report / , NIST special publication ;  800-170. , https://doi.org/10.6028/NIST.SP.800-170 https://www.govinfo.gov/content/pkg/GOVPUB-C13-506dcc60ccc8a68971694bf2097a5f14/pdf/GOVPUB-C13-506dcc60ccc8a68971694bf2097a5f14.pdf https://purl.fdlp.gov/GPO/gpo97829
1074022,141105s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)894513379, 0247 (online), C 13.10:500-293, US government cloud computing technology roadmap / , NIST special publication ;  500-293. , https://doi.org/10.6028/NIST.SP.500-293 https://www.govinfo.gov/content/pkg/GOVPUB-C13-99238014423d21f95a8e689089609da8/pdf/GOVPUB-C13-99238014423d21f95a8e689089609da8.pdf https://purl.fdlp.gov/GPO/gpo100989
1074024,150205s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)902817399, 0247 (online), C 13.10:500-303, The structure of optimal and near optimal target sets in consensus models / , NIST special publication ;  500-303. , https://doi.org/10.6028/NIST.SP.500-303 https://www.govinfo.gov/content/pkg/GOVPUB-C13-96daa831c650718897440da9926d4b1e/pdf/GOVPUB-C13-96daa831c650718897440da9926d4b1e.pdf https://purl.fdlp.gov/GPO/gpo100905
