001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001074762,151026s1979\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740198, 0247 (online), C 13.10:260-58, Standard reference materials :  SRM 1470 /, NBS special publication ;  260-58. , https://doi.org/10.6028/NBS.SP.260-58 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a7dbe89b87a20197c573582346fa1c4f/pdf/GOVPUB-C13-a7dbe89b87a20197c573582346fa1c4f.pdf https://purl.fdlp.gov/GPO/gpo101560
001074763,151026s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740265, 0247 (online), C 13.10:260-81, Standard reference materials :  accuracy in analytical spectrophotometry/, NBS special publication ;  260-81. , https://doi.org/10.6028/NBS.SP.260-81 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7262085e8ff8d1fab4f585444de6dad3/pdf/GOVPUB-C13-7262085e8ff8d1fab4f585444de6dad3.pdf https://purl.fdlp.gov/GPO/gpo99279
001074764,151026s1977\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740267, 0247 (online), C 13.10:260-54, Standard reference materials :  certification and use of acidic potassium dichromate solutions as an ultraviolet absorbance standard - SRM 935/, NBS special publication ;  260-54. , https://doi.org/10.6028/NBS.SP.260-54 https://www.govinfo.gov/content/pkg/GOVPUB-C13-124027dbc5d7ba8b8e7ef8f7b1184882/pdf/GOVPUB-C13-124027dbc5d7ba8b8e7ef8f7b1184882.pdf https://purl.fdlp.gov/GPO/gpo95118
001074765,151026s1981\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740199, 0247 (online), C 13.10:260-71, Standard reference materials :  summary of the clinical laboratory standards issued by the National Bureau of Standards/, NBS special publication ;  260-71. , https://doi.org/10.6028/NBS.SP.260-71 https://www.govinfo.gov/content/pkg/GOVPUB-C13-bd7daffd522e8ce902aeac7afcc2b421/pdf/GOVPUB-C13-bd7daffd522e8ce902aeac7afcc2b421.pdf https://purl.fdlp.gov/GPO/gpo102416
001074767,151026s1969\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740269, 0247 (online), C 13.10:260-16, Standard reference materials :  homogeneity characterization of NBS spectrometric standards IV /, NBS special publication ;  260-16. , https://doi.org/10.6028/NBS.SP.260-16 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7a446a0070e77377475f410bed1c68f5/pdf/GOVPUB-C13-7a446a0070e77377475f410bed1c68f5.pdf https://purl.fdlp.gov/GPO/gpo99606
001074768,151026s1980\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740270, 0247 (online), C 13.10:260-64, Standard reference materials :  a fluorescence standard reference material /, NBS special publication ;  260-64. , https://doi.org/10.6028/NBS.SP.260-64 https://www.govinfo.gov/content/pkg/GOVPUB-C13-48077f9422b05fa0dbfb1d3155aaca4b/pdf/GOVPUB-C13-48077f9422b05fa0dbfb1d3155aaca4b.pdf https://purl.fdlp.gov/GPO/gpo97505
001074769,151026s1978\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740201, 0247 (online), C 13.10:260-57, Standard reference materials :  guide to United States reference materials/, NBS special publication ;  260-57. , https://doi.org/10.6028/NBS.SP.260-57 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ddf0e6f6be8a3a6bfb9e46d655458e69/pdf/GOVPUB-C13-ddf0e6f6be8a3a6bfb9e46d655458e69.pdf https://purl.fdlp.gov/GPO/gpo104023
001074770,151026s1986\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740307, 0247 (online), C 13.10:260-105," Standard reference materials :  summary of the environmental research, analysis, and control standards issued by the National Bureau of Standards/", NBS special publication ;  260-105. , https://doi.org/10.6028/NBS.SP.260-105 https://www.govinfo.gov/content/pkg/GOVPUB-C13-52aa8bb07e1c488b4a00238d56eac8ba/pdf/GOVPUB-C13-52aa8bb07e1c488b4a00238d56eac8ba.pdf https://purl.fdlp.gov/GPO/gpo97914
001074771,151026s1974\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740308, 0247 (online), C 13.10:260-49, Standard reference materials :  calibrated glass standards for fission track use/, NBS special publication ;  260-49. , https://doi.org/10.6028/NBS.SP.260-49 https://www.govinfo.gov/content/pkg/GOVPUB-C13-10dcf73eb44c027ccb1d123853c2255d/pdf/GOVPUB-C13-10dcf73eb44c027ccb1d123853c2255d.pdf https://purl.fdlp.gov/GPO/gpo95083
001074772,151026s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740309, 0247 (online), C 13.10:260-43, Standard reference materials :  preparation and homogeneity characterization of an austenitic iron-chromium-nickel alloy/, NBS special publication ;  260-43. , https://doi.org/10.6028/NBS.SP.260-43 https://www.govinfo.gov/content/pkg/GOVPUB-C13-287725e610c1f04487810a34e07af1d5/pdf/GOVPUB-C13-287725e610c1f04487810a34e07af1d5.pdf https://purl.fdlp.gov/GPO/gpo96331
001074774,151026s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740311, 0247 (online), C 13.10:260-41, Standard reference materials :  use of standard light-sensitive paper for calibrating carbon arcs used in testing textiles for colorfastness to light/, NBS special publication ;  260-41. , https://doi.org/10.6028/NBS.SP.260-41 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e71d7eeeec18d691bea5c8baed912ac3/pdf/GOVPUB-C13-e71d7eeeec18d691bea5c8baed912ac3.pdf https://purl.fdlp.gov/GPO/gpo104433
001074775,151026s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740312, 0247 (online), C 13.10:260-44," Standard reference materials :  preparation and use of superconductive fixed point devices, SRM 767/", NBS special publication ;  260-44. , https://doi.org/10.6028/NBS.SP.260-44 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2f1b066d1ab61a25f40a9a441ba7ce54/pdf/GOVPUB-C13-2f1b066d1ab61a25f40a9a441ba7ce54.pdf https://purl.fdlp.gov/GPO/gpo96332
001074776,151026s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740297, 0247 (online), C 13.10:260-35," Standard reference materials :  thermal conductivity of austenitic stainless steel, SRM 735, from 5 to 280 K/", NBS special publication ;  260-35. , https://doi.org/10.6028/NBS.SP.260-35 https://www.govinfo.gov/content/pkg/GOVPUB-C13-aae638a6ffdf7d483ef8da4594df53e5/pdf/GOVPUB-C13-aae638a6ffdf7d483ef8da4594df53e5.pdf https://purl.fdlp.gov/GPO/gpo101676
001074777,151026s1971\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740298, 0247 (online), C 13.10:260-31," Standard reference materials :  thermal conductivity of electrolytic iron, SRM 734, from 4 to 300 K/", NBS special publication ;  260-31. , https://doi.org/10.6028/NBS.SP.260-31 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a7d9005db4bf61597e186b2b3aa258e1/pdf/GOVPUB-C13-a7d9005db4bf61597e186b2b3aa258e1.pdf https://purl.fdlp.gov/GPO/gpo101558
001074778,151026s1978\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740299, 0247 (online), C 13.10:260-56," Standard reference materials :  standard thermocouple material, Pt-67 /", NBS special publication ;  260-56. , https://doi.org/10.6028/NBS.SP.260-56 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6584deb84ab5d752af68772ae141342a/pdf/GOVPUB-C13-6584deb84ab5d752af68772ae141342a.pdf https://purl.fdlp.gov/GPO/gpo98776
