MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Bibliographic_Level/Illustrations/Publication status	Homeland infrastructure foundation-level data	001134835	1228482517		HS			Department of Homeland Security			HS 1.27:			0520-B-68 (online)			20uu	https://purl.fdlp.gov/GPO/gpo148999			https://hifld-geoplatform.opendata.arcgis.com/		
Bibliographic_Level/Illustrations/Publication status	Reports	001135758	1232240449		Y			Congress			Y 3.EQ 2:2 R 29/			1059-A-16 (online)			20uu	https://purl.fdlp.gov/GPO/gpo150333			https://oig.eeoc.gov/reports		
Bibliographic_Level/Illustrations/Publication status	Code of federal regulations	001136833	434502491	436872115; 1262948525; 1262951981; 1262952800; 1262953584; 1262955327; 1262959389; 1262961928	AE			National Archives and Records Administration			AE 2.106/3-4:			0572-B-03 (online)			-2014	https://purl.fdlp.gov/GPO/gpo151455			https://www.govinfo.gov/help/cfr		
Bibliographic_Level/Illustrations/Publication status	Finding people at the FCC	001137221	62204376		CC			Federal Communications Commission			CC 1.53:			0283-A (online)			20uu	https://purl.fdlp.gov/GPO/LPS60125			http://www.fcc.gov/fcc-bin/findpeople.pl		
Bibliographic_Level/Illustrations/Publication status	MarineCadastre	001138358	1241080800		C			Department of Commerce			C 55.54:M 33/4			0128-M-05 (online)			20uu	https://purl.fdlp.gov/GPO/gpo152440			https://www.fisheries.noaa.gov/inport/item/37232		
Bibliographic_Level/Illustrations/Publication status	CBP border wait times	001139262	1243276669		HS			Department of Homeland Security			HS 4.123:			0520-B-92 (online)			201u	https://purl.fdlp.gov/GPO/gpo153391			https://bwt.cbp.gov/		
Bibliographic_Level/Illustrations/Publication status	CBP airport wait times	001139301	1243314925		HS			Department of Homeland Security			HS 4.123/2:			0520-B-70 (online)			2008	https://purl.fdlp.gov/GPO/gpo153471			https://awt.cbp.gov/		
Bibliographic_Level/Illustrations/Publication status	Detention policies	001148554	1245255493		HS			Department of Homeland Security			HS 4.202:D 48/4/			0520-D (online)			20uu	https://purl.fdlp.gov/GPO/gpo153668			https://www.ice.gov/information-library/detention-policies		
Bibliographic_Level/Illustrations/Publication status	Vaccines.gov	001149998	1249716453		HE			Department of Health and Human Services			HE 20.7068/3:			0504-W-43 (online)			2021	https://purl.fdlp.gov/GPO/gpo155294			https://www.vaccines.gov/		
Bibliographic_Level/Illustrations/Publication status	Vacunas.gov	001150010	1249748327		HE			Department of Health and Human Services			HE 20.7068/3:			0504-W-43 (online)			2021	https://purl.fdlp.gov/GPO/gpo155298			https://www.vacunas.gov/		
Bibliographic_Level/Illustrations/Publication status	USPTO datasets	001150459	1250486300		C			Department of Commerce			C 21.31/20:			0154-H-11 (online)			20uu	https://purl.fdlp.gov/GPO/gpo155640			https://developer.uspto.gov/data		
Bibliographic_Level/Illustrations/Publication status	RePORTER	001159932	1259529184		HE			Department of Health and Human Services			HE 20.3002:R 29/3/			0507 (online)			20uu	https://purl.fdlp.gov/GPO/gpo157019			https://reporter.nih.gov/		
Bibliographic_Level/Illustrations/Publication status	2019 biological opinions	001160946	1261755739		I			Department of the Interior			I 27.2:C 33/21			0660 (online)			20uu	https://purl.fdlp.gov/GPO/gpo157575			https://www.usbr.gov/mp/bdo/lto/biop.html		
Bibliographic_Level/Illustrations/Publication status	National levee database	001163624	1267516692		D			Department of Defense			D 103.142:			0337-C-02 (online)			201u	https://purl.fdlp.gov/GPO/gpo159400			https://levees.sec.usace.army.mil/#/		
Bibliographic_Level/Illustrations/Publication status	NPS Stats: National Park Service visitor use statistics	001164106	1268267578		I			Department of the Interior			I 29.174:			0648-A-49 (online)			20uu	https://purl.fdlp.gov/GPO/gpo159380			https://irma.nps.gov/STATS/		
Bibliographic_Level/Illustrations/Publication status	Electronic Technical Information Center	001164647	1269075651		I			Department of the Interior			I 29.175/2:			0648-A-51 (online)			20uu	https://purl.fdlp.gov/GPO/gpo160229			https://pubs.etic.nps.gov/Default.aspx		
